"id","month","day","year","description","amount","category","account","debit_or_credit","original_description","note","date"
"00000145717d41accf290962001000f300940076","1","15","2014","Loan Pmtloan Roundpoint","2354.78","Mortgage & Rent","Free Checking","debit",,"","2014.01.15"
"00000145717d41accf290963001000f300940076","1","14","2014","Rockymtn Pacificautomatic","77.0","Utilities","SHARE DRAFT NO MIN","debit",,"","2014.01.14"
"00000145717d41accf290964001000f300940076","1","14","2014","Rockymtn Pacificautomatic","52.81","Utilities","SHARE DRAFT NO MIN","debit",,"","2014.01.14"
"00000145717d41accf290965001000f300940076","1","14","2014","Stdnt Loanstdnt Loan 21474 Fedloanservicing Street","4785.21","Student Loan","Free Checking","debit",,"","2014.01.14"
"00000145717d41accf290966001000f300940076","1","13","2014","Transfer to Free Checking","2000.0","Transfer","REGULAR SHARE","debit",,"","2014.01.13"
"00000145717d41accf290967001000f300940076","1","13","2014","Check# 1135check# 1135 #1135","1177.39","Mortgage & Rent","Free Checking","debit",,"","2014.01.13"
"00000145717d41accf290968001000f300940076","1","13","2014","Transfer from REGULAR SHARE","2000.0","Transfer","Free Checking","credit",,"","2014.01.13"
"00000145717d41accf290969001000f300940076","1","13","2014","Cinemark","6.0","Movies & DVDs","CREDIT CARD","debit",,"","2014.01.13"
"00000145717d41accf29096a001000f300940076","1","13","2014","7-Eleven","38.45","Gas & Fuel","CREDIT CARD","debit",,"","2014.01.13"
"00000145717d41accf29096b001000f300940076","1","13","2014","Laser Assault","16.0","Amusement","CREDIT CARD","debit",,"","2014.01.13"
"00000145717d41ad8645408f001000f300940076","1","13","2014","Transfer to CREDIT CARD","186.47","Credit Card Payment","SHARE DRAFT NO MIN","debit",,"","2014.01.13"
"00000145717d41ad86454090001000f300940076","1","13","2014","Internet Transfer Transfer","50.0","Mobile Phone","SHARE DRAFT NO MIN","debit",,"","2014.01.13"
"00000145717d41ad86454091001000f300940076","1","13","2014","Bear River Mutuainsurance","22.84","Auto Insurance","SHARE DRAFT NO MIN","debit",,"","2014.01.13"
"00000145717d41ad86454092001000f300940076","1","13","2014","Transfer to Discover :","406.19","Credit Card Payment","Free Checking","debit",,"","2014.01.13"
"00000145717d41ad86454093001000f300940076","1","12","2014","Byu Wall","1.89","Restaurants","CREDIT CARD","debit",,"","2014.01.12"
"00000145717d41ad86454094001000f300940076","1","10","2014","Transfer to Free Checking","1000.0","Transfer","REGULAR SHARE","debit",,"","2014.01.10"
"00000145717d41ad86454095001000f300940076","1","10","2014","Transfer to Free Checking","500.0","Transfer","REGULAR SHARE","debit",,"","2014.01.10"
"00000145717d41ad86454096001000f300940076","1","10","2014","Transfer to Free Checking","3000.0","Transfer","REGULAR SHARE","debit",,"","2014.01.10"
"00000145717d41ad86454097001000f300940076","1","10","2014","Transfer from REGULAR SHARE","3000.0","Transfer","Free Checking","credit",,"","2014.01.10"
"00000145717d41ad86454098001000f300940076","1","10","2014","Transfer from REGULAR SHARE","1000.0","Transfer","Free Checking","credit",,"","2014.01.10"
"00000145717d41ad86454099001000f300940076","1","10","2014","Transfer from REGULAR SHARE","500.0","Transfer","Free Checking","credit",,"","2014.01.10"
"00000145717d41ad8645409a001000f300940076","1","10","2014","Transfer from SHARE DRAFT NO MIN","186.47","Credit Card Payment","CREDIT CARD","credit",,"","2014.01.10"
"00000145717d41ad8645409b001000f300940076","1","10","2014","Transfer from Free Checking","406.19","Credit Card Payment","Discover :","credit",,"","2014.01.10"
"00000145717d41ad8645409c001000f300940076","1","10","2014","Payrollpayroll Crown H","1575.82","Paycheck","REGULAR SHARE","credit",,"","2014.01.10"
"00000145717d41ad8645409d001000f300940076","1","10","2014","Zerochaos Payropayroll Deduction","448.5","Paycheck","SHARE DRAFT NO MIN","credit",,"","2014.01.10"
"00000145717d41ad8645409e001000f300940076","1","10","2014","Payment","783.27","Loan Payment","Direct Sub Stafford Loan","credit",,"","2014.01.10"
"00000145717d41ad8645409f001000f300940076","1","10","2014","Payment","2001.83","Loan Payment","Direct Unsub Stafford Loan","credit",,"","2014.01.10"
"00000145717d41ad864540a0001000f300940076","1","10","2014","Payment","2000.11","Loan Payment","Federal Unsub Stafford Loan","credit",,"","2014.01.10"
"00000145717d41ad864540a1001000f300940076","1","9","2014","Questar Gas","84.07","Utilities","Free Checking","debit",,"","2014.01.09"
"00000145717d41ad864540a2001000f300940076","1","8","2014","Pizza Factory","8.47","Restaurants","CREDIT CARD","debit",,"","2014.01.08"
"00000145717d41ad864540a3001000f300940076","1","8","2014","Auto Air Vacuum","1.25","Service & Parts","CREDIT CARD","debit",,"","2014.01.08"
"00000145717d41ad864540a4001000f300940076","1","8","2014","Auto Air Vacuum","1.25","Service & Parts","CREDIT CARD","debit",,"","2014.01.08"
